ts,value,state,source
1706438574,2376.0,charging,history-time-full
1706438694,59.0,charging,history-charge
1706438694,30.619,charging,history-rate
1706438694,2253.0,charging,history-time-full
1706438814,61.0,charging,history-charge
1706438814,30.737,charging,history-rate
1706438814,2128.0,charging,history-time-full
1706438934,63.0,charging,history-charge
1706438934,30.865,charging,history-rate
1706438934,2003.0,charging,history-time-full
1706439054,65.0,charging,history-charge
1706439054,30.994,charging,history-rate
1706439054,1882.0,charging,history-time-full
1706439174,67.0,charging,history-charge
1706439174,31.127,charging,history-rate
1706439174,1759.0,charging,history-time-full
1706439294,69.0,charging,history-charge
1706439294,31.281,charging,history-rate
1706439294,1636.0,charging,history-time-full
1706439414,72.0,charging,history-charge
1706439414,31.419,charging,history-rate
1706439414,1517.0,charging,history-time-full
1706439534,74.0,charging,history-charge
1706439534,31.573,charging,history-rate
1706439534,1396.0,charging,history-time-full
1706439654,76.0,charging,history-charge
1706439654,31.733,charging,history-rate
1706439654,1276.0,charging,history-time-full
1706439774,78.0,charging,history-charge
1706439774,31.886,charging,history-rate
1706439774,1159.0,charging,history-time-full
1706439891,80.0,charging,history-charge
1706439891,32.05,charging,history-rate
1706439891,1044.0,charging,history-time-full
1706440011,82.0,charging,history-charge
1706440011,32.232,charging,history-rate
1706440011,929.0,charging,history-time-full
1706440131,84.0,charging,history-charge
1706440131,31.975,charging,history-rate
1706440131,826.0,charging,history-time-full
1706440251,86.0,charging,history-charge
1706440251,28.377,charging,history-rate
1706440251,816.0,charging,history-time-full
1706440371,88.0,charging,history-charge
1706440371,25.24,charging,history-rate
1706440371,803.0,charging,history-time-full
1706440491,89.0,charging,history-charge
1706440491,22.453,charging,history-rate
1706440491,787.0,charging,history-time-full
1706440611,91.0,charging,history-charge
1706440611,20.073,charging,history-rate
1706440611,767.0,charging,history-time-full
1706440731,92.0,charging,history-charge
1706440731,17.937,charging,history-rate
1706440731,742.0,charging,history-time-full
1706440851,93.0,charging,history-charge
1706440851,16.084,charging,history-rate
1706440851,714.0,charging,history-time-full
1706440971,94.0,charging,history-charge
1706440971,14.505,charging,history-rate
1706440971,675.0,charging,history-time-full
1706441091,95.0,charging,history-charge
1706441091,13.101,charging,history-rate
1706441091,634.0,charging,history-time-full
1706441211,96.0,charging,history-charge
1706441211,11.873,charging,history-rate
1706441211,588.0,charging,history-time-full
1706450062,100.0,discharging,history-charge
1706450062,0.833,discharging,history-rate
1706450062,11.873,discharging,history-rate
1706450062,200712.0,discharging,history-time-empty
1706450062,14087.0,discharging,history-time-empty
1706450062,0.0,discharging,history-time-full
1706450070,14084.0,discharging,history-time-empty
1706450190,16.016,discharging,history-rate
1706450190,10440.0,discharging,history-time-empty
1706450310,15.23,discharging,history-rate
1706450310,10979.0,discharging,history-time-empty
1706450430,13.221,discharging,history-rate
1706450430,12648.0,discharging,history-time-empty
1706450550,99.0,discharging,history-charge
1706450550,13.229,discharging,history-rate
1706450550,12528.0,discharging,history-time-empty
1706450670,98.0,discharging,history-charge
1706450670,13.899,discharging,history-rate
1706450670,11808.0,discharging,history-time-empty
1706450790,97.0,discharging,history-charge
1706450790,13.53,discharging,history-rate
1706450790,12007.0,discharging,history-time-empty
1706450910,96.0,discharging,history-charge
1706450910,12.191,discharging,history-rate
1706450910,13202.0,discharging,history-time-empty
1706451030,95.0,discharging,history-charge
1706451030,9.704,discharging,history-rate
1706451030,16419.0,discharging,history-time-empty
1706451150,94.0,discharging,history-charge
1706451150,13.211,discharging,history-rate
1706451150,11938.0,discharging,history-time-empty
1706451270,93.0,discharging,history-charge
1706451270,10.477,discharging,history-rate
1706451270,14922.0,discharging,history-time-empty
1706451390,92.0,discharging,history-charge
1706451390,10.384,discharging,history-rate
1706451390,14921.0,discharging,history-time-empty
1706451510,91.0,discharging,history-charge
1706451510,11.796,discharging,history-rate
1706451510,12979.0,discharging,history-time-empty
1706455958,100.0,discharging,history-charge
1706455958,0.401,discharging,history-rate
1706455958,416827.0,discharging,history-time-empty
1706456078,9.929,discharging,history-rate
1706456078,16834.0,discharging,history-time-empty
1706456198,9.956,discharging,history-rate
1706456198,16788.0,discharging,history-time-empty
1706456241,0.432,discharging,history-rate
1706456241,386916.0,discharging,history-time-empty
1706456362,11.623,discharging,history-rate
1706456362,14380.0,discharging,history-time-empty
1706456482,99.0,discharging,history-charge
1706456482,9.83,discharging,history-rate
1706456482,16930.0,discharging,history-time-empty
1706457158,98.0,discharging,history-charge
1706457158,0.398,discharging,history-rate
1706457158,415085.0,discharging,history-time-empty
1706457278,9.737,discharging,history-rate
1706457278,16848.0,discharging,history-time-empty
1706457398,97.0,discharging,history-charge
1706457398,12.487,discharging,history-rate
1706457398,12990.0,discharging,history-time-empty
1706457518,96.0,discharging,history-charge
1706457518,9.68,discharging,history-rate
1706457518,16605.0,discharging,history-time-empty
1706457638,95.0,discharging,history-charge
1706457638,9.535,discharging,history-rate
1706457638,16721.0,discharging,history-time-empty
1706457758,94.0,discharging,history-charge
1706457758,11.531,discharging,history-rate
1706457758,13696.0,discharging,history-time-empty
1706457878,93.0,discharging,history-charge
1706457878,18.981,discharging,history-rate
1706457878,8216.0,discharging,history-time-empty
1706457998,92.0,discharging,history-charge
1706457998,12.957,discharging,history-rate
1706457998,11897.0,discharging,history-time-empty
1706459920,91.0,discharging,history-charge
1706459920,0.391,discharging,history-rate
1706459920,389647.0,discharging,history-time-empty
1706460042,89.0,discharging,history-charge
1706460042,19.275,discharging,history-rate
1706460042,7790.0,discharging,history-time-empty
1706460162,88.0,discharging,history-charge
1706460162,16.654,discharging,history-rate
1706460162,8899.0,discharging,history-time-empty
1706460282,87.0,discharging,history-charge
1706460282,12.827,discharging,history-rate
1706460282,11414.0,discharging,history-time-empty
1706460402,86.0,discharging,history-charge
1706460402,12.273,discharging,history-rate
1706460402,11794.0,discharging,history-time-empty
1706460522,85.0,discharging,history-charge
1706460522,12.596,discharging,history-rate
1706460522,11369.0,discharging,history-time-empty
1706460642,84.0,discharging,history-charge
1706460642,12.453,discharging,history-rate
1706460642,11372.0,discharging,history-time-empty
1706460762,83.0,discharging,history-charge
1706460762,12.391,discharging,history-rate
1706460762,11307.0,discharging,history-time-empty
1706460882,82.0,discharging,history-charge
1706460882,12.453,discharging,history-rate
1706460882,11124.0,discharging,history-time-empty
1706461002,81.0,discharging,history-charge
1706461002,14.508,discharging,history-rate
1706461002,9434.0,discharging,history-time-empty
1706461122,80.0,discharging,history-charge
1706461122,13.013,discharging,history-rate
1706461122,10393.0,discharging,history-time-empty
1706461166,14.281,discharging,history-rate
1706461166,9417.0,discharging,history-time-empty
1706461286,79.0,discharging,history-charge
1706461286,12.974,discharging,history-rate
1706461286,10241.0,discharging,history-time-empty
1706461406,78.0,discharging,history-charge
1706461406,12.858,discharging,history-rate
1706461406,10205.0,discharging,history-time-empty
1706461526,77.0,discharging,history-charge
1706461526,13.414,discharging,history-rate
1706461526,9656.0,discharging,history-time-empty
1706461646,76.0,discharging,history-charge
1706461646,12.912,discharging,history-rate
1706461646,9908.0,discharging,history-time-empty
1706461766,75.0,discharging,history-charge
1706461766,13.793,discharging,history-rate
1706461766,9155.0,discharging,history-time-empty
1706461886,74.0,discharging,history-charge
1706461886,13.22,discharging,history-rate
1706461886,9430.0,discharging,history-time-empty
1706462006,73.0,discharging,history-charge
1706462006,13.006,discharging,history-rate
1706462006,9460.0,discharging,history-time-empty
1706462126,72.0,discharging,history-charge
1706462126,13.068,discharging,history-rate
1706462126,9280.0,discharging,history-time-empty
1706462246,71.0,discharging,history-charge
1706462246,12.115,discharging,history-rate
1706462246,9874.0,discharging,history-time-empty
1706462366,70.0,discharging,history-charge
1706462366,10.455,discharging,history-rate
1706462366,11318.0,discharging,history-time-empty
1706462486,69.0,discharging,history-charge
1706462486,13.444,discharging,history-rate
1706462486,8702.0,discharging,history-time-empty
1706462606,68.0,discharging,history-charge
